mapping_id,partition,methods,path,route_name,capability_owner,runtime_owner,external_effects,call_count,structured_route_count,normalized_access_count,ambiguous_access_count,first_called_at,last_called_at,ui_referenced,retired_or_blocked_marker,recommended_tier,recommendation_basis,traffic_match_quality,candidate_v2_operation_id,candidate_v2_method,candidate_v2_path,human_signoff,data_window_start,data_window_end
LEGACY-API-0001,S04,GET,/admin,api.admin_console_dashboard,admin_shell,ai_crm_next,none,33,9,24,0,2026-07-11T10:56:54.064123+08:00,2026-08-05T00:47:46.540989+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0002,S04,GET,/admin/alipay/transactions,api.admin_alipay_transactions_page,commerce,ai_crm_next,none,2,0,2,0,2026-07-13T14:08:24.861315+08:00,2026-07-13T14:45:19.250798+08:00,true,false,A,observed_production_traffic,normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0003,S02,GET,/admin/api-docs,api.admin_api_docs,admin_config,ai_crm_next,none,231,144,87,0,2026-07-13T14:03:05.899431+08:00,2026-08-09T23:16:55.077486+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0004,S04,GET,/admin/attachment-library,api.admin_attachment_library_workspace,media_library,ai_crm_next,none,233,149,84,0,2026-07-13T14:02:25.580223+08:00,2026-08-09T23:16:54.622137+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0005,S04,GET,/admin/automation-agents,api.admin_automation_agents_page,automation_agents,ai_crm_next,none,282,158,124,0,2026-07-11T11:03:27.337928+08:00,2026-08-09T23:16:50.031325+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0006,S04,GET,/admin/automation-agents/{agent_id}/edit,api.admin_automation_agent_edit_page,automation_agents,ai_crm_next,none,14,7,7,0,2026-07-13T14:16:36.774191+08:00,2026-08-03T16:31:56.465647+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0007,S03,GET,/admin/automation-conversion,api.admin_automation_conversion,ai_audience_ops,ai_crm_next,none,398,247,151,0,2026-07-11T10:53:46.893702+08:00,2026-08-09T23:16:49.780666+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0008,S03,GET,/admin/automation-conversion/group-ops/groups/ui,api.admin_group_ops_groups_ui,automation_engine,ai_crm_next,none,5,1,4,0,2026-07-13T14:08:09.644625+08:00,2026-07-28T17:34:24.835586+08:00,false,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0009,S03,GET,/admin/automation-conversion/group-ops/plans/{plan_id:int},api.admin_group_ops_plan_detail,automation_engine,ai_crm_next,none,6,3,3,0,2026-07-13T14:04:25.324583+08:00,2026-08-04T11:34:50.933939+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
LEGACY-API-0010,S03,GET,/admin/automation-conversion/group-ops/ui,api.admin_group_ops_ui,automation_engine,ai_crm_next,none,299,185,114,0,2026-07-11T11:03:12.493736+08:00,2026-08-09T23:16:49.864720+08:00,true,false,A,observed_production_traffic,structured_route_exact+normalized_unique_path,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_SIGNOFF,2026-07-11T00:00:00+08:00,2026-08-10T10:15:00+08:00
